row_index,page,raw_date,raw_description,raw_amount,parsed_date,parsed_description,parsed_amount,transaction_type,include_for_1099,exclusion_reason,notes
1,1,01/02/2024,Adobe Systems Inc,599.88,2024-01-02,Adobe Systems Inc,599.88,vendor_payment,yes,,Software vendor
2,1,01/03/2024,Comcast Business Autopay,249.99,2024-01-03,Comcast Business Autopay,249.99,vendor_payment,yes,,Utility vendor (recurring)
3,1,01/05/2024,Verizon Wireless Autopay,189.00,2024-01-05,Verizon Wireless Autopay,189.0,vendor_payment,yes,,Utility vendor
4,1,01/12/2024,Mary Johnson Consulting,850.00,2024-01-12,Mary Johnson Consulting,850.0,vendor_payment,yes,,Contractor — likely 1099-NEC candidate
5,1,01/18/2024,Staples Inc #0421,142.55,2024-01-18,Staples Inc #0421,142.55,vendor_payment,yes,,Office supplies — store number should normalize to 'Staples'
6,1,01/22/2024,FedEx Office,67.50,2024-01-22,FedEx Office,67.5,vendor_payment,yes,,Shipping vendor
7,1,01/28/2024,Home Depot #6547,234.88,2024-01-28,Home Depot #6547,234.88,vendor_payment,yes,,Store number should normalize to 'Home Depot'
8,1,02/02/2024,Adobe Systems Inc,599.88,2024-02-02,Adobe Systems Inc,599.88,vendor_payment,yes,,
9,1,02/03/2024,Comcast Business Autopay,249.99,2024-02-03,Comcast Business Autopay,249.99,vendor_payment,yes,,
10,1,02/05/2024,Verizon Wireless Autopay,189.00,2024-02-05,Verizon Wireless Autopay,189.0,vendor_payment,yes,,
11,1,02/14/2024,John Smith Consulting,800.00,2024-02-14,John Smith Consulting,800.0,vendor_payment,yes,,Contractor — note 'Consulting' suffix
12,1,02/18/2024,Robert Kim LLC,600.00,2024-02-18,Robert Kim LLC,600.0,vendor_payment,yes,,LLC — at $600 threshold exactly
13,1,02/22/2024,Office Depot Corp,78.22,2024-02-22,Office Depot Corp,78.22,vendor_payment,yes,,DIFFERENT vendor from Home Depot
14,1,03/02/2024,Adobe Systems Inc,599.88,2024-03-02,Adobe Systems Inc,599.88,vendor_payment,yes,,
15,1,03/03/2024,Comcast Business Autopay,249.99,2024-03-03,Comcast Business Autopay,249.99,vendor_payment,yes,,
16,1,03/05/2024,Verizon Wireless Autopay,189.00,2024-03-05,Verizon Wireless Autopay,189.0,vendor_payment,yes,,
17,1,03/15/2024,Mary Johnson Consulting LLC,650.00,2024-03-15,Mary Johnson Consulting LLC,650.0,vendor_payment,yes,,Variant of row 4 — 'LLC' suffix appended; should resolve to same canonical vendor
18,1,03/20/2024,David Lee Contractor,750.00,2024-03-20,David Lee Contractor,750.0,vendor_payment,yes,,Contractor — 1099-NEC candidate
19,1,03/25/2024,Slack Technologies,87.50,2024-03-25,Slack Technologies,87.5,vendor_payment,yes,,Software vendor
20,1,03/28/2024,Stripe Inc Monthly,175.00,2024-03-28,Stripe Inc Monthly,175.0,vendor_payment,yes,,Payment processor
21,1,04/02/2024,Adobe Systems Inc,599.88,2024-04-02,Adobe Systems Inc,599.88,vendor_payment,yes,,
22,1,04/03/2024,Comcast Business Autopay,249.99,2024-04-03,Comcast Business Autopay,249.99,vendor_payment,yes,,
23,1,04/05/2024,Verizon Wireless Autopay,189.00,2024-04-05,Verizon Wireless Autopay,189.0,vendor_payment,yes,,
24,1,04/12/2024,Robert Kim LLC,850.00,2024-04-12,Robert Kim LLC,850.0,vendor_payment,yes,,
25,1,04/18/2024,Staples.com,94.15,2024-04-18,Staples.com,94.15,vendor_payment,yes,,Variant of 'Staples Inc' — should normalize to 'Staples'
26,1,04/22/2024,Amazon Web Services,342.17,2024-04-22,Amazon Web Services,342.17,vendor_payment,yes,,AWS — distinct from Amazon retail (AMZN MKTP)
27,1,05/02/2024,Adobe Systems Inc,599.88,2024-05-02,Adobe Systems Inc,599.88,vendor_payment,yes,,
28,1,05/03/2024,Comcast Business Autopay,249.99,2024-05-03,Comcast Business Autopay,249.99,vendor_payment,yes,,
29,1,05/05/2024,Verizon Wireless Autopay,189.00,2024-05-05,Verizon Wireless Autopay,189.0,vendor_payment,yes,,
30,2,05/15/2024,Mary Johnson Consulting,900.00,2024-05-15,Mary Johnson Consulting,900.0,vendor_payment,yes,,3rd variant of Mary Johnson — back to no LLC suffix
31,2,05/22/2024,FedEx Office,89.25,2024-05-22,FedEx Office,89.25,vendor_payment,yes,,
32,2,05/28/2024,John Smith LLC,700.00,2024-05-28,John Smith LLC,700.0,vendor_payment,yes,,AMBIGUOUS — same person as 'John Smith Consulting' (row 11)? Different entity? Flag for review.
33,2,06/02/2024,Adobe Systems Inc,599.88,2024-06-02,Adobe Systems Inc,599.88,vendor_payment,yes,,
34,2,06/03/2024,Comcast Business Autopay,249.99,2024-06-03,Comcast Business Autopay,249.99,vendor_payment,yes,,
35,2,06/05/2024,Verizon Wireless Autopay,189.00,2024-06-05,Verizon Wireless Autopay,189.0,vendor_payment,yes,,
36,2,06/15/2024,David Lee Contractor,850.00,2024-06-15,David Lee Contractor,850.0,vendor_payment,yes,,
37,2,06/22/2024,Home Depot #8832,88.17,2024-06-22,Home Depot #8832,88.17,vendor_payment,yes,,Different store number than row 7
